CandidateName,CandidateType,Magnitude,RA,Dec,CVal1,CVal2,Filter,StartObservability,EndObservability,RejectedReason,Priority,ApproachColor
M66,Astrophotography,8.920000076293945,11.33751,12.9915,8.51,Galaxy in Pair of Galaxies,"G, R, I",2023-09-16 16:00:00,2023-09-16 23:30:00,Observability,5,PURPLE
M64,Astrophotography,8.520000457763672,12.94547,21.682658,9.77,Seyfert Galaxy,"G, R, I",2023-09-16 17:36:00,2023-09-17 01:06:00,Observability,5,PURPLE
M61,Astrophotography,9.649999618530272,12.36526,4.47377704644,6.17,Seyfert 2 Galaxy,"G, R, I",2023-09-16 17:02:00,2023-09-17 00:32:00,Observability,5,PURPLE
M58,Astrophotography,9.65999984741211,12.62876,11.8183,5.62,Seyfert Galaxy,"G, R, I",2023-09-16 17:17:00,2023-09-17 00:47:00,Observability,5,PURPLE
M57,Astrophotography,15.769000053405762,18.89308,33.02913424654,1.153,Planetary Nebula,"G, R, I",2023-09-16 23:33:00,2023-09-17 07:03:00,Observability,5,PURPLE
M27,Astrophotography,14.08899974822998,19.99343,22.72119779432,0.133,Planetary Nebula,"G, R, I",2023-09-17 00:39:00,2023-09-17 08:09:00,Observability,5,PURPLE
M26,Astrophotography,8.869999885559082,18.75447,-9.386,7.1,Open Cluster,"G, R, I",2023-09-17 00:35:00,2023-09-17 06:55:00,Observability,5,PURPLE
M19,Astrophotography,5.570000171661377,17.0438,-26.26794,9.6,Globular Cluster,"G, R, I",2023-09-16 22:52:00,2023-09-17 04:48:00,Observability,5,PURPLE
M16,Astrophotography,6.0,18.31253,-13.792,5.05,Open Cluster,"G, R, I",2023-09-17 00:08:00,2023-09-17 06:28:00,Observability,5,PURPLE
M105,Astrophotography,9.760000228881836,10.79711,12.581631,5.13,LINER-type Active Galaxy Nucleus,"G, R, I",2023-09-16 15:28:00,2023-09-16 22:58:00,Observability,5,PURPLE
M104,Astrophotography,8.0,12.66651,-11.62305449444,8.51,LINER-type Active Galaxy Nucleus,"G, R, I",2023-09-16 18:30:00,2023-09-17 00:50:00,Observability,5,PURPLE
M102,Astrophotography,9.890000343322754,15.10821,55.763308,6.31,Seyfert Galaxy,"G, R, I",2023-09-16 20:46:00,2023-09-17 03:16:00,Observability,5,PURPLE
M100,Astrophotography,9.350000381469728,12.38192,15.8223045161,7.59,Active Galaxy Nucleus,"G, R, I",2023-09-16 17:03:00,2023-09-17 00:33:00,Observability,5,PURPLE
